USER 1,USER 2,MOVIE,RATING 1,RATING 2,DIFFERENCE
30,34429,108399,7,8,1
30,6623,102803,4,7,3
30,34413,96256,7,9,2
30,7706,112818,8,9,1
30,32597,98253,8,8,0
33,27909,87544,7,9,2
36,34449,68646,8,10,2
36,17801,105695,8,9,1
36,14972,57590,5,5,0
40,1057,109830,8,8,0
40,33390,108399,6,5,1
46,34593,78748,7,10,3
46,17624,94226,6,8,2
46,17800,78788,9,10,1
46,8050,95765,7,8,1
46,8050,97216,9,9,0
46,4095,91167,8,9,1
46,22900,104466,9,9,0
46,5287,97123,8,7,1
53,19653,110912,10,8,2
53,34565,87544,7,9,2
76,474,112471,1,8,7
76,32232,94963,3,5,2
76,7985,93773,8,10,2
76,22502,98635,9,10,1
76,10186,106977,10,8,2
76,31979,105665,8,7,1
76,3673,87050,6,6,0
124,11506,110912,4,10,6
124,16452,102926,9,9,0
133,4350,93437,10,10,0
133,13801,112642,10,4,6
146,7292,87544,7,7,0
177,27944,111161,10,10,0
177,14185,109830,10,8,2
177,1490,110912,10,1,9
191,1046,110413,7,9,2
191,1486,111161,9,9,0
198,29976,111503,8,7,1
211,15124,111686,10,8,2
221,468,86250,8,9,1
221,775,99674,8,10,2
280,28050,112864,9,9,0
290,31460,110632,7,6,1
290,21238,111161,9,10,1
290,4623,95953,7,10,3
290,18785,104070,7,9,2
290,18785,112462,5,7,2
290,6623,96061,7,8,1
295,33670,90605,10,10,0
295,11009,94008,10,7,3
295,11009,100403,10,7,3
295,10579,93773,10,10,0
295,20446,91554,10,6,4
302,13923,112740,9,8,1
302,11009,112384,9,9,0
308,33095,88763,9,7,2
314,18098,77651,10,6,4
314,4246,82495,10,6,4
316,25658,91480,9,6,3
331,1182,96895,8,7,1
331,1182,103776,8,6,2
331,13394,81398,8,10,2
336,16556,107818,10,8,2
336,8780,112573,8,10,2
336,16716,112792,7,7,0
336,23588,112401,10,10,0
341,20546,103064,8,10,2
341,26902,92005,9,10,1
341,26902,107290,7,10,3
341,30239,101414,8,8,0
341,13376,107034,8,6,2
341,32032,98384,6,9,3
344,15604,103064,10,10,0
344,15604,110912,10,10,0
344,5991,112641,10,9,1
344,7911,110322,10,4,6
373,16323,105236,8,6,2
373,7029,99685,10,7,3
406,20274,105323,8,9,1
406,29058,113277,9,7,2
406,9178,107822,9,8,1
408,35380,109830,9,10,1
415,4622,86637,9,9,0
415,35750,71141,10,10,0
415,27619,89853,9,9,0
415,27909,69467,9,10,1
415,27909,73312,8,7,1
415,27888,85794,9,7,2
415,21230,63555,7,7,0
427,14157,93389,8,8,0
430,10279,111161,9,10,1
437,6773,105236,7,9,2
437,15529,110413,9,9,0
468,6623,99487,9,7,2
474,11443,105695,9,9,0
474,34397,112471,8,8,0
549,3429,106469,8,10,2
549,4552,110912,8,10,2
555,30946,109830,9,8,1
555,30946,111161,10,9,1
555,16485,110357,8,9,1
577,3187,103060,6,8,2
609,10984,109686,8,7,1
609,7103,94291,9,10,1
628,28050,95016,10,9,1
628,28050,99423,7,8,1
628,28050,112864,8,9,1
664,26596,78788,9,9,0
664,14157,78748,7,8,1
695,17844,99785,10,9,1
695,13376,89670,8,7,1
711,15904,112471,9,8,1
711,15124,111070,6,7,1
711,4302,106918,7,7,0
713,22744,79574,5,6,1
713,22744,86034,7,7,0
713,22744,97742,7,6,1
713,22744,113189,7,8,1
721,261,99685,8,8,0
721,24545,85794,8,8,0
727,1115,104409,10,6,4
740,34565,83922,6,6,0
766,8780,68646,10,10,0
766,8780,111161,10,10,0
775,221,99674,10,8,2
775,20098,110357,10,9,1
808,22404,95016,10,7,3
808,406,102926,9,9,0
808,7529,109506,10,10,0
827,25549,101410,9,7,2
827,32597,79470,8,7,1
827,21230,73312,8,7,1
827,31934,97904,7,8,1
827,8701,71487,9,8,1
853,26744,107207,10,8,2
855,22905,99674,6,9,3
855,30239,108052,10,10,0
855,4137,105236,9,9,0
855,25404,97733,9,8,1
855,25404,98206,3,8,5
866,7315,110912,9,10,1
885,21082,109830,9,9,0
951,10579,91419,10,7,3
957,14730,110912,9,10,1
957,18696,105112,7,7,0
957,13061,103064,9,10,1
957,26808,109040,7,7,0
957,17801,105793,8,7,1
957,23884,111756,5,8,3
957,20195,109045,7,8,1
963,29189,113189,7,10,3
963,1617,112641,7,7,0
963,35477,88847,8,8,0
963,2788,110413,9,9,0
1010,13648,88846,6,7,1
1010,6401,93191,9,10,1
1010,14241,95765,8,10,2
1010,24991,96283,9,8,1
1010,32597,81505,7,7,0
1010,28138,110912,8,10,2
1035,13759,105695,7,10,3
1035,16716,94012,6,6,0
1043,6905,88847,10,10,0
1043,22393,61722,9,9,0
1046,26630,110413,9,8,1
1046,31830,105236,8,7,1
1057,6821,111161,10,8,2
1089,27839,112864,8,8,0
1089,13907,110912,10,9,1
1089,6239,105236,8,9,1
1089,11081,103776,7,7,0
1089,22744,113189,6,8,2
1089,10579,107688,8,10,2
1089,34477,104691,7,8,1
1089,9145,102138,8,9,1
1115,11543,104409,6,6,0
1134,22423,69467,7,9,2
1134,12619,67445,5,10,5
1136,20546,111282,8,8,0
1136,32539,103772,10,6,4
1136,33711,112819,10,7,3
1179,16806,82846,7,9,2
1179,12348,58331,6,10,4
1182,4879,108052,8,8,0
1182,2684,112462,7,10,3
1210,12420,105665,6,7,1
1210,35504,91042,7,8,1
1210,14447,97239,8,5,3
1216,15648,113409,6,3,3
1216,35926,109707,10,8,2
1234,12249,112471,10,10,0
1234,15632,112384,8,7,1
1241,28698,113247,8,7,1
1241,18304,90756,9,8,1
1241,27909,87884,10,10,0
1241,27909,102536,8,8,0
1241,33653,76759,9,9,0
1241,33653,80684,9,8,1
1241,32495,77405,8,8,0
1241,21042,106519,9,9,0
1241,11009,82340,4,8,4
1241,31358,83907,2,8,6
1241,8050,87800,7,6,1
1241,2309,104036,9,7,2
1241,32570,88184,6,7,1
1253,20433,66921,9,9,0
1253,11009,101410,8,8,0
1266,19185,99700,6,8,2
1266,15968,100403,6,8,2
1275,28142,103767,3,7,4
1275,12652,96895,8,7,1
1278,10018,112471,10,10,0
1289,15715,108052,10,10,0
1289,15644,111161,10,10,0
