20,9640,14925,408,34039,28600,
30,22376,12191,12042,613,2224,
33,1810,3799,4445,7205,10314,
36,5655,34449,16806,11414,16422,
40,1057,2026,2113,3490,4561,
46,2628,4741,4872,8005,9293,
53,7242,10395,14391,19755,20980,
76,28657,2109,27039,21708,25982,
93,13183,
124,261,437,543,1139,1197,
133,19695,21320,31968,4847,10996,
146,2319,3411,5279,6665,9604,
177,35462,28600,15225,3344,3465,
191,1,29,152,221,468,
198,7763,35276,9052,23311,29976,
211,334,1951,4670,25865,32658,
221,1,29,152,191,468,
280,4537,7509,14469,17413,17643,
290,14326,31460,9254,11066,8512,
295,976,2567,8899,15946,21665,
302,1068,7219,13110,14389,22593,
308,12943,1617,14329,33095,17946,
314,302,429,1179,1947,4016,
316,5539,2981,30445,31598,14238,
331,5140,13969,16132,18318,26904,
336,32207,35765,13937,11382,2439,
341,12807,13088,20546,26902,30239,
344,1182,8194,16157,1183,1759,
373,1264,6069,7926,7927,9692,
406,28600,5370,13458,22882,25957,
408,1934,4209,5254,5783,6141,
415,34303,2842,1443,3035,3758,
427,1299,1373,2142,3407,4605,
430,73,190,1105,5460,7002,
437,261,1139,1197,2254,2616,
468,1,29,152,549,1046,
472,26117,5609,10484,22041,31977,
474,28553,14254,1057,5869,6820,
511,31331,9982,17486,32759,25265,
542,317,3866,4930,7090,7990,
549,1,29,152,1153,1222,
555,3420,30946,81,1169,1743,
577,11776,14413,15133,19233,31317,
579,10984,25404,32032,
609,284,458,466,504,574,
628,133,3807,3865,4847,6944,
664,8358,9401,11897,21928,28858,
695,2026,2113,2508,3490,3925,
711,211,1832,1951,2483,2733,
713,22744,3866,4930,7090,7990,
721,146,261,543,1275,2319,
727,6674,8602,11645,15127,15672,
740,3788,4622,6142,35927,26286,
766,124,261,437,543,1139,
775,1,29,152,191,221,
807,12821,28297,14782,33711,21456,
808,6455,18210,20037,21042,1511,
827,2313,7399,8890,10197,10961,
834,24707,35677,11891,14085,
853,5083,11766,19638,22990,33979,
855,25964,4529,21739,22037,22905,
866,408,1934,4209,5254,5783,
885,695,2026,2113,2508,3490,
951,1954,14559,33905,9055,26540,
957,1646,10337,25911,31961,308,
963,2136,2493,6455,18210,20037,
990,8816,20517,9976,24914,25549,
1010,31697,21342,4497,15017,7505,
1011,15890,6070,1899,22499,10839,
1026,25266,740,1617,20877,26893,
1028,26075,16226,27137,
1035,1699,1730,4897,6353,15958,
1043,1241,1372,2333,3881,5291,
1045,27094,
1046,1,29,152,549,1153,
1057,5869,6820,6821,9804,10858,
1089,9474,30518,27200,27839,21422,
1115,11543,14413,15133,19233,577,
1134,34980,25585,34212,23675,4714,
1136,3366,8938,9213,15835,22656,
1178,3523,16942,19814,20106,22229,
1179,11067,11734,23638,27114,13461,
1182,5462,5958,10734,26558,32656,
1210,30204,6624,17771,2113,2508,
1216,3065,3837,4339,4845,6577,
1234,17470,23521,24557,25941,26507,
1241,28698,30056,32920,27646,18304,
